iit_id,name,location,nirf_rank
1,Indian Institute of Technology (BHU) Varanasi,"Varanasi, Uttar Pradesh",10
2,Indian Institute of Technology Bhilai,"Raipur, Chhattisgarh",73
3,Indian Institute of Technology Bhubaneswar,"Bhubaneswar, Odisha",54
4,Indian Institute of Technology Bombay,"Mumbai, Maharashtra",3
5,Indian Institute of Technology Delhi,"New Delhi, Delhi",2
6,Indian Institute of Technology Dhanbad,"Dhanbad, Jharkhand",15
7,Indian Institute of Technology Dharwad,"Dharwad, Karnataka",115
8,Indian Institute of Technology Gandhinagar,"Gandhinagar, Gujarat",18
9,Indian Institute of Technology Goa,"Ponda, Goa",201
10,Indian Institute of Technology Guwahati,"Guwahati, Assam",7
11,Indian Institute of Technology Hyderabad,"Hyderabad, Telangana",8
12,Indian Institute of Technology Indore,"Indore, Madhya Pradesh",16
13,Indian Institute of Technology Jammu,"Jammu, Jammu and Kashmir",62
14,Indian Institute of Technology Jodhpur,"Jodhpur, Rajasthan",28
15,Indian Institute of Technology Kanpur,"Kanpur, Uttar Pradesh",4
16,Indian Institute of Technology Kharagpur,"Kharagpur, West Bengal",5
17,Indian Institute of Technology Madras,"Chennai, Tamil Nadu",1
18,Indian Institute of Technology Mandi,"Mandi, Himachal Pradesh",31
19,Indian Institute of Technology Palakkad,"Palakkad, Kerala",65
20,Indian Institute of Technology Patna,"Patna, Bihar",34
21,Indian Institute of Technology Roorkee,"Roorkee, Uttarakhand",6
22,Indian Institute of Technology Ropar,"Rupnagar, Punjab",22
23,Indian Institute of Technology Tirupati,"YERPEDU, Andhra Pradesh",61
