name,location,nirf_rank,nit_id
"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,9,1
"National Institute of Technology, Rourkela",Rourkela,13,2
"National Institute of Technology Karnataka, Surathkal",Surathkal,17,3
National Institute of Technology Calicut,Calicut,21,4
"National Institute of Technology, Warangal",Warangal,28,5
Malaviya National Institute of Technology Jaipur,Jaipur,42,6
"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,44,7
National Institute of Technology Durgapur,Durgapur,49,8
"National Institute of Technology, Silchar",Silchar,50,9
National Institute of Technology Patna,Patna,53,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,55,11
Motilal Nehru National Institute of Technology Allahabad,Allahabad,62,12
National Institute of Technology Delhi,Delhi,65,13
"Sardar Vallabhbhai National Institute of Technology, Surat",Surat,66,14
"National Institute of Technology, Srinagar",Srinagar,73,15
Maulana Azad National Institute of Technology Bhopal,Bhopal,81,16
"National Institute of Technology, Jamshedpur",Jamshedpur,82,17
National Institute of Technology Meghalaya,Meghalaya,83,18
"National Institute of Technology, Kurukshetra",Kurukshetra,85,19
National Institute of Technology Raipur,Raipur,86,20
National Institute of Technology Hamirpur,Hamirpur,97,21
National Institute of Technology Puducherry,Puducherry,99,22
National Institute of Technology Agartala,Agartala,101,23
National Institute of Technology Arunachal Pradesh,Pradesh,102,24
National Institute of Technology Goa,Goa,103,25
"National Institute of Technology, Mizoram",Mizoram,104,26
National Institute of Technology Nagaland,Nagaland,105,27
"National Institute of Technology, Manipur",Manipur,151,28
National Institute of Technology Sikkim,Sikkim,152,29
"National Institute of Technology, Uttarakhand",Uttarakhand,153,30
"National Institute of Technology, Andhra Pradesh",Pradesh,201,31
