institute,Average Domestic Package (LPA),Highest Domestic Package (LPA)
"Dr B R Ambedkar National Institute of Technology, Jalandhar",7.53,31.12
"Malaviya National Institute of Technology, Jaipur",7.5,37.0
"Maulana Azad National Institute of Technology, Bhopal",7.84,34.0
"Motilal Nehru National Institute of Technology, Allahabad",7.82,36.0
"National Institute of Technology, Mizoram",6.62,17.3
"National Institute of Technology, Warangal",13.3,39.0
"National Institute of Technology, Yupia,  Arunachal Pradesh",6.6,13.0
"National Institute of Technology, Silchar",6.3,32.5
"National Institute of Technology, Patna",7.7,39.1
"National Institute of Technology, Calicut",9.56,50.0
"National Institute of Technology, Raipur",7,38.0
"National Institute of Technology, Delhi",7,32.0
"National Institute of Technology, Goa",6.42,12.0
"National Institute of Technology, Hamirpur, HP",6.78,120.0
"National Institute of Technology, Kurukshetra",8.24,40.63
"National Institute of Technology, Hazaratbal, Srinagar",9,19.56
"National Institute of Technology, Jamshedpur, Jharkhand",7,39.0
"National Institute of Technology, Manipur",5.6,17.5
"National Institute of Technology, Meghalaya",6,13.0
"National Institute of Technology, Nagaland",4.5,9.0
"National Institute of Technology, Rourkela",5-6,39.1
"National Institute of Technology, Puducherry",4.9,15.25
"National Institute of Technology, Surathkal",14.15,39.0
"National Institute of Technology, Sikkim",8.5,18.0
"National Institute of Technology, Tiruchirapalli",6,70.0
"National Institute of Technology, Agartala, Tripura",5,36.0
"National Institute of Technology, Srinagar (Garhwal), Uttarkhand",6,10.5
"National Institute of Technology, Durgapur",9,32.5
"Sardar Vallabhbhai National Institute of Technology, Surat",11.2,39.5
"Visvesvaraya National Institute of Technology, Nagpur",7,22.0
"National Institute of Technology, Tadepalligudem, Andhra Pradesh",5.87,13.0
