Institute Name,Location,Average Package (INR),Highest Package (INR)
Assam University, Silchar,Not Available,Not Available
BIT Mesra, Ranchi,INR 6.5 LPA,INR 51 LPA
Gurukula Kangri Vishwavidyalaya, Haridwar,INR 4 LPA,INR 10 LPA
IIEST Shibpur, West Bengal,INR 9 LPA,INR 46.5 LPA
Institute of Infrastructure Technology Research and Management (IITRAM), Ahmedabad,INR 6 LPA,INR 13 LPA
Institute of Chemical Technology (ICT), Mumbai,INR 5.5 LPA,INR 15 LPA
J.K. Institute of Applied Physics and Technology, Allahabad,INR 8 LPA,INR 32 LPA
Mizoram University, Aizawl,INR 3.5 LPA,INR 6 LPA
National Institute of Food Technology Entrepreneurship and Management (NIFTEM), Sonipat,INR 6 LPA,INR 12 LPA
Punjab Engineering College (Deemed to be University), Chandigarh,INR 10 LPA,INR 64 LPA
School of Engineering, Tezpur University,INR 7.5 LPA,INR 20 LPA
Shri Mata Vaishno Devi University, Katra,INR 4.5 LPA,INR 15 LPA
Indian Institute of Carpet Technology, Bhadohi,INR 3 LPA,INR 6 LPA
University of Hyderabad, Hyderabad,INR 6.2 LPA,INR 23 LPA
Central University of Rajasthan, Ajmer,INR 5.5 LPA,INR 11 LPA
Central University of Jharkhand, Ranchi,INR 4.2 LPA,INR 7 LPA
Central University of Karnataka, Kalaburagi,INR 4.5 LPA,INR 10 LPA
Central University of South Bihar, Gaya,INR 4.8 LPA,INR 8.5 LPA
Gujarat University (Department of Physical Sciences), Ahmedabad,INR 5.3 LPA,INR 9 LPA
Hemwati Nandan Bahuguna Garhwal University, Uttarakhand,Not Available,Not Available
