Institute,Average Package (LPA),Highest Package (LPA)
IIT Bombay,23.50,367.00
IIT Delhi,17.60,205.00
IIT Kanpur,26.27,550.00
IIT Madras,17.00,131.00
IIT Kharagpur,24.00,260.00
IIT Guwahati,25.75,205.00
IIT Roorkee,18.30,205.00
IIT Gandhinagar,19.60,60.00
IIT Patna,17.00,82.05
IIT Jammu,17.60,53.00
IIT Indore,25.45,100.00
IIT Dharwad,18.00,52.00
IIT Bhubaneswar,17.16,56.00
IIT Ropar,22.27,55.00
IIT Goa,16.32,51.00
IIT Hyderabad,23.26,110.00
IIT Dhanbad (ISM),13.13,60.00
IIT Jodhpur,26.31,53.00
IIT Bhilai,14.00,48.64
IIT Palakkad,13.95,46.15
IIT Mandi,12.00,25.00
IIT Tirupati,18.39,41.60
Indian Institute of Technology (BHU), Varanasi,22.80,220.00
